gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.82, d0W0.68, d0W0.58, d0W0.52, d0W0.5, d1W1, d1W0.82, d1W0.68, d1W0.58, d1W0.52, d1W0.5, 
0, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
100, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
200, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
300, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
400, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
500, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
600, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
700, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
800, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
900, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
