gen, d0l0, d1l0, d0l1, d1l1, d0l2, d1l2, d0l3, d1l3, d0l4, d1l4, d0W1, d0W0.892, d0W0.808, d0W0.748, d0W0.712, d0W0.7, d1W1, d1W0.892, d1W0.808, d1W0.748, d1W0.712, d1W0.7, 
0, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
100, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
200, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
300, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
400, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
500, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
600, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
700, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
800, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
900, 0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,200,0,0,0,0,0,
